 name , ra , dec , distance_Mpc
 LV J1030+0607 ,157.6846,6.1272,7.8
 NGC1156 ,44.9267,25.2375,7.8
 LV J0300+2546 ,45.1638,25.7822,7.8
 d1220+4649 ,185.2292,46.8292,7.8
 KK136 ,185.1692,47.0008,7.8
 LV J1217+4703 ,184.2921,47.0636,7.8
 d1219+4705 ,184.9033,47.0925,7.8
 KK134 ,184.8908,47.4517,7.8
 [KKH2011]S11 ,185.1254,47.4903,7.8
 BTS132 ,185.9425,47.6589,7.8
 KK132 ,184.7771,47.7308,7.8
 KK246 ,300.9892,-31.6817,7.83
 NGC4258 ,184.7396,47.3039,7.83
 MAPS1249+44 ,192.3792,44.3592,7.84
 KDG010 ,25.9225,15.6897,7.87
 NGC2337 ,107.5567,44.4569,7.87
 KUG 0937+480 ,145.0817,47.7772,7.88
 MCG -03-34-002 ,196.9858,-16.6892,7.9
 VCC0841 ,186.4458,14.9519,7.9
 NGC3239 ,156.2704,17.1636,7.9
 NGC4136 ,182.3237,29.9275,7.9
 NGC7640 ,350.5275,40.8456,7.9
 UGC7751 ,188.7992,41.0608,7.9
 NGC4618 ,190.3867,41.1508,7.9
 NGC4625 ,190.4696,41.2739,7.9
 UGC12588 ,351.1767,41.3481,7.9
 NGC4242 ,184.3758,45.6194,7.9
 HIPASS J0905-36 ,136.5,-36.06,7.93
 IC4710 ,277.1583,-66.9822,7.94
 ESO495-021 ,129.0633,-26.4094,7.96
 LV J1000+5022 ,150.1062,50.3792,7.97
 PGC013294 ,53.9867,-45.1914,7.98
 NGC3274 ,158.0712,27.6686,7.98
 NGC1800 ,76.6071,-31.9542,8
 DDO153 ,193.4896,-12.1086,8
 KKR08 ,214.8117,3.1239,8
 NGC4204 ,183.81,20.6586,8
 NGC5229 ,203.5121,47.9153,8
 UGCA361 ,203.1508,49.8303,8
 KDG229 ,208.4233,60.0511,8
 KK65 ,115.63,16.5611,8.02
 MRK0036 ,166.2438,29.1394,8.02
 LV J1328+4937 ,202.13,49.6272,8.02
 DDO194 ,218.8525,57.2567,8.02
 KUG 1218+387 ,185.2287,38.4303,8.03
 DDO047 ,115.4792,16.8006,8.05
 NGC4288 ,185.1587,46.2917,8.05
 KKH82 ,198.2446,41.7867,8.06
 NGC5398 ,210.3425,-33.0644,8.1
 NGC3037 ,147.85,-27.0111,8.1
 VCC1822 ,190.0433,6.8469,8.1
 NGC4559 ,188.9904,27.9597,8.1
 DDO131 ,187.9942,29.7097,8.1
 KUG 1033+366B ,159.0733,36.4253,8.1
 KDG155 ,188.2833,-0.5331,8.11
 DDO084 ,160.6746,34.4489,8.11
 KUG 0821+321 ,126.2708,32.0175,8.15
 AM0106-382 ,17.0917,-38.2092,8.2
 VCC0114 ,183.6467,5.6772,8.2
 KDG177 ,189.9938,13.7814,8.2
 KK133 ,184.8867,43.3864,8.23
 UGC04998 ,141.3004,68.3831,8.24
 ESO104-044 ,287.8462,-64.2192,8.3
 [KK2000] 70 ,286.7454,-63.9658,8.3
 NGC6744 ,287.4413,-63.8578,8.3
 [KK2000] 72 ,288.0954,-63.8561,8.3
 [KK2000] 71 ,287.1833,-63.7314,8.3
 ESO373-007 ,143.1892,-33.2456,8.3
 UGC05186 ,145.7492,33.2644,8.3
 ApplesI ,348.7638,-42.5394,8.32
 UGC08882 ,209.3108,54.1008,8.32
 CGCG 217-018 ,198.2158,40.5431,8.33
 ESO558-011 ,106.7367,-22.0406,8.4
 WHI B0619-07 ,95.5575,-7.8378,8.4
 NGC4455 ,187.1838,22.8225,8.4
 NGC5194 ,202.4696,47.2344,8.4
 UGC12894 ,0.0938,39.4956,8.47
 ESO572-034 ,179.7421,-19.03,8.5
